REGION 1;;;;;;;;;;;;;;;;
VIABILIDAD ;INVERSION PLANTA ;INGRESOS;;;COSTOS;;;;;;;;;;;
ES VIABLE;2,21E+13;INGRESO POR VENTA ENERGIA;DIGESTATO PRODUCIDO;INGRESO POR VENTA DIGESTATO;FINANCIEROS; MANTENIMIENTO;OPERACI‡N;TRANSPORTE;MUNICIPIOS;RESIDUOS GENERADOS (T/A•O);CAMIONES REQUERIDOS;DISTANCIA Km;TRANSPORTE;;planta;500 kW
;;8,00E+14;95938,6064;19187721280;5,53E+12;3,32E+12;3,69E+13;628251140;GUADUAS;7954,895;1;30;32543400;;costo ;3800000000
;;;;;;;;;LA PE•A;108036,4249;4;50;290978000;;va ;5228426833
;;;;;;;;;CAPARRAPI;267763,1058;6;7;304729740;;operaci¢n ;63360000
;;;;;;;;;;;;;;;va;87177137,93
REGION 2;;;;;;;;;;;;;;;Mantenimiento;15292200
VIABILIDAD;INVERSION PLANTA ;INGRESOS;;;COSTOS;;;;;;;;;;va;21040565,48
ES VIABLE;1,00E+13;INGRESO POR VENTA ENERGIA;DIGESTATO PRODUCIDO;INGRESO POR VENTA DIGESTATO;FINANCIEROS; MANTENIMIENTO;OPERACI‡N;TRANSPORTE;MUNICIPIOS;RESIDUOS GENERADOS (T/A•O);CAMIONES REQUERIDOS;DISTANCIA Km;TRANSPORTE;;;
;;2,13E+14;34286,99892;6857399784;2,50E+12;1,50E+12;1,67E+13;582755350;SAN JUAN RIO;2289;1;30;32543400;;;
;;;;;;;;;VIANI;55499,566;2;40;465564800;;;
;;;;;;;;;QUIPILE;79359,42968;5;7;84647150;;;
;;;;;;;;;;;;;;;;
REGION 3;;;;;;;;;;;;;;;;
VIABILIDAD;INVERSION PLANTA ;INGRESOS;;;COSTOS;;;;;;;;;;;
ES VIABLE;8,47E+12;INGRESO POR VENTA ENERGIA;DIGESTATO PRODUCIDO;INGRESO POR VENTA DIGESTATO;FINANCIEROS; MANTENIMIENTO;OPERACI‡N;TRANSPORTE;MUNICIPIOS;RESIDUOS GENERADOS (T/A•O);CAMIONES REQUERIDOS;DISTANCIA Km;TRANSPORTE;;;
;;1,62E+14;14899,97213;2979994427;2,12E+12;1,27E+12;1,41E+13;72519295;COACHI ;17619,771;2;8;19347920;;;
;;;;;;;;;FOMEQUE;100,80228;1;10;10847800;;;
;;;;;;;;;UBAQUE;41879,31525;5;7;42323575;;;
